state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_males,percent_graduate_females,,,,
jharkhand,Gumla,Rural,264268,53292,110773,8308,60628,39575,2076,8,6,,,,
jharkhand,Simdega,Rural,145029,29841,67491,3328,24953,22744,941,5,5,,,,
jharkhand,Pashchimi Singhbhum,Rural,285484,71564,119791,6684,69224,24905,1367,6,6,,,,
jharkhand,Saraikela-Kharsawan,Rural,157011,31194,86801,6617,24745,14271,1051,8,8,,,,
karnataka ,Belgaum,Rural,1355508,246233,686481,38448,240675,182119,3434,6,2,,,,
karnataka ,Bagalkot,Rural,485414,98427,213914,10876,110092,62981,928,6,2,,,,
karnataka ,Bijapur,Rural,624337,139585,261785,16665,147229,75738,1425,7,2,,,,
karnataka ,Bidar,Rural,438243,91235,202275,12070,90834,53899,1054,6,2,,,,
karnataka ,Raichur,Rural,575016,152232,193737,8781,171770,57277,908,5,2,,,,
karnataka ,Koppal,Rural,434781,79879,192789,8214,98231,63882,1034,5,2,,,,
karnataka ,Gadag,Rural,294454,40621,146507,6946,56019,51307,726,5,2,,,,
karnataka ,Dharwad,Rural,352661,54815,177982,7863,61977,57887,784,5,2,,,,
